소득,연령,신용대출총잔액,장기보험사고접수건수,월납보험료,보험유지기간,리볼빙건수,현금서비스합계,대출한도소진율,은행계좌유지기간,신용카드일시불이용률,자동차사고접수건수,대출금액,금리,신용스코어,최근6개월내미상환대출총건수,대출유입경로,연체해제일로부터의기간,연체여부
30400000,48,37297,0,165190,136,2,0,93.24,4382,100,0,6000000,10.08,748,1,모바일앱,99999,0
44000000,55,100417,5,223030,122,1,0,90.11,7952,79,0,3000000,9.11,767,3,모바일앱,99999,0
50000000,42,69593,6,178730,117,3,0,98.71,5615,100,0,5000000,9.11,753,0,모바일앱,99999,0
50000000,49,111552,7,443100,107,2,0,99.91,9577,92,0,3000000,9.92,872,1,모바일앱,99999,0
50000000,47,54000,3,192670,204,0,0,93.51,7315,81,2,10000000,7.04,852,0,모바일앱,99999,0
50000000,59,91854,5,140290,174,2,15400,89.73,7872,28,0,3000000,9.11,778,0,홈페이지,99999,0
33600000,53,0,0,309690,70,0,0,98.77,2058,90,0,3000000,9.92,901,0,모바일앱,99999,0
21600000,43,20000,10,494960,179,0,0,88.11,8702,86,0,15000000,8.53,822,0,모바일앱,99999,0
31200000,49,42510,8,312550,89,0,0,90.66,10748,79,0,10000000,8.59,847,0,모바일앱,99999,0
24800000,48,23555,6,360240,117,1,0,87.47,6290,88,0,21700000,7.5,837,0,모바일앱,99999,0
44800000,43,40000,22,2350120,177,0,0,92.06,4695,77,2,20000000,8.72,872,0,모바일앱,99999,0
27200000,45,29550,0,50000,127,3,11400,98.23,8408,23,0,3050000,9.11,751,1,모바일웹,99999,0
24800000,38,30213,7,209670,147,3,293,69.16,5166,53,0,6000000,9.11,749,0,모바일앱,99999,0
17600000,51,0,36,434430,68,0,0,100,11188,91,0,7540000,8.88,951,0,홈페이지,99999,0
34400000,54,25916,1,165000,131,3,300,44.44,3367,64,2,7070000,9.11,796,0,홈페이지,99999,0
20000000,53,3554,39,440900,175,0,0,100,8520,88,0,5000000,7.11,896,1,모바일앱,99999,0
29600000,32,38000,1,124840,181,0,0,100,2458,81,0,3000000,7.2,922,0,모바일앱,99999,0
41600000,48,123900,39,148460,163,0,0,0,8118,74,0,3000000,8.07,896,0,모바일앱,99999,0
22400000,44,44000,38,682020,103,1,0,100,8612,100,0,3000000,10.08,773,1,홈페이지,99999,0
20800000,39,4661,1,131690,95,0,0,97.7,3842,0,0,13000000,7.5,933,0,모바일앱,99999,0
