지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),현지기압(hPa),지면온도(°C)
108,서울,2023-01-01 0:00,0.9,,1.4,72,1018.5,-1.6
108,서울,2023-01-01 1:00,1.5,,1.9,71,1018,-1.4
108,서울,2023-01-01 2:00,1.5,,1.9,72,1017.8,-1.6
108,서울,2023-01-01 3:00,1.6,,1.6,74,1018.1,-1.8
108,서울,2023-01-01 4:00,1.5,,1.4,74,1018.1,-1.3
108,서울,2023-01-01 5:00,0.8,,2.4,62,1018.1,-2.1
108,서울,2023-01-01 6:00,-0.2,,3.1,67,1018.4,-3.3
108,서울,2023-01-01 7:00,-1.5,,2.5,71,1019.2,-4.1
108,서울,2023-01-01 8:00,-1.8,,2.7,75,1020,-4.4
108,서울,2023-01-01 9:00,-1.7,,2.1,75,1020.6,-3.6
108,서울,2023-01-01 10:00,-0.4,,2.4,66,1020.8,-1.3
108,서울,2023-01-01 11:00,0.4,,3.6,58,1020.8,0.5
108,서울,2023-01-01 12:00,2,,1.7,54,1020.3,3.1
108,서울,2023-01-01 13:00,3,,2.5,45,1019.7,5.1
108,서울,2023-01-01 14:00,3.8,,2.9,38,1019.4,5.5
108,서울,2023-01-01 15:00,3.1,,3.1,37,1019,2.2
108,서울,2023-01-01 16:00,2.6,,4.4,33,1019.3,-0.2
108,서울,2023-01-01 17:00,1.7,,3.1,29,1019.2,-0.3
108,서울,2023-01-01 18:00,0.1,,2.9,35,1019,-0.6
108,서울,2023-01-01 19:00,-0.8,,2.9,40,1019.8,-0.9
108,서울,2023-01-01 20:00,-1.7,,3.5,44,1020.3,-1.5
108,서울,2023-01-01 21:00,-2.2,,3.2,45,1021.2,-2.4
108,서울,2023-01-01 22:00,-2.7,,3.8,45,1021.6,-3.2
108,서울,2023-01-01 23:00,-3.4,,2.6,46,1022.1,-4.1
108,서울,2023-01-02 0:00,-4.3,,2.2,49,1022,-4.8
108,서울,2023-01-02 1:00,-5,,2.6,49,1021.9,-5.6
108,서울,2023-01-02 2:00,-5.6,,2.3,51,1022,-6.1
108,서울,2023-01-02 3:00,-6.2,,2.2,53,1022.1,-6.6
108,서울,2023-01-02 4:00,-6.6,,1.2,52,1022.1,-7.1
108,서울,2023-01-02 5:00,-6.7,,1.9,52,1021.9,-7.5
108,서울,2023-01-02 6:00,-6.4,,2.7,51,1021.7,-7.6
108,서울,2023-01-02 7:00,-6.6,,2.9,52,1021.8,-7.5
108,서울,2023-01-02 8:00,-7.3,,1.7,53,1022,-7.6
108,서울,2023-01-02 9:00,-6.6,,3,53,1022.3,-6.9
108,서울,2023-01-02 10:00,-5.1,,2.6,47,1022.7,-3.6
108,서울,2023-01-02 11:00,-4.1,,3.7,44,1022.4,0
108,서울,2023-01-02 12:00,-2.6,,3.2,37,1021.2,1.1
108,서울,2023-01-02 13:00,-2.2,,3.5,35,1021,2.4
108,서울,2023-01-02 14:00,-1.4,,2.8,34,1019.9,3.8
108,서울,2023-01-02 15:00,-0.7,,3,34,1019.4,1.5
108,서울,2023-01-02 16:00,-0.9,,3,34,1019.5,-0.2
108,서울,2023-01-02 17:00,-1.7,,1.7,37,1019.6,-0.6
108,서울,2023-01-02 18:00,-2.7,,2.8,39,1019.9,-1.7
108,서울,2023-01-02 19:00,-3.4,,2.6,44,1020.3,-2.8
108,서울,2023-01-02 20:00,-3.7,,2.9,46,1020.7,-3.9
108,서울,2023-01-02 21:00,-4.4,,1.7,48,1020.9,-5
108,서울,2023-01-02 22:00,-5.1,,2.5,46,1020.9,-5.8
108,서울,2023-01-02 23:00,-5.8,,1.6,49,1020.8,-6.4
108,서울,2023-01-03 0:00,-6.5,,2.5,52,1020.8,-7
108,서울,2023-01-03 1:00,-7.3,,2.3,55,1020.4,-7.4
108,서울,2023-01-03 2:00,-7.6,,1.2,59,1020.2,-7.9
108,서울,2023-01-03 3:00,-8.1,,1.1,60,1020.7,-8.2
108,서울,2023-01-03 4:00,-8.2,,2.1,59,1020.5,-8.3
108,서울,2023-01-03 5:00,-8.4,,1.6,61,1020.1,-8.4
108,서울,2023-01-03 6:00,-8.9,,1,65,1020,-8.7
108,서울,2023-01-03 7:00,-8.9,,0.8,67,1020.3,-9
108,서울,2023-01-03 8:00,-8.8,,1.5,66,1020.4,-8.8
108,서울,2023-01-03 9:00,-8.3,,1.9,65,1020.6,-7.7
108,서울,2023-01-03 10:00,-5.8,,1,59,1020.8,-3.9
108,서울,2023-01-03 11:00,-3.4,,2.6,41,1020.5,0.1
108,서울,2023-01-03 12:00,-2.3,,3,36,1019.8,2
108,서울,2023-01-03 13:00,-1.3,,3.3,34,1019,3.9
108,서울,2023-01-03 14:00,-0.2,,2.5,30,1018.4,5.1
108,서울,2023-01-03 15:00,-0.5,,3.6,27,1017.8,2
108,서울,2023-01-03 16:00,0.3,,2.3,30,1018.1,-0.2
108,서울,2023-01-03 17:00,-1.3,,2.5,36,1018.2,-0.6
108,서울,2023-01-03 18:00,-2.4,,1.9,39,1018.5,-1.8
108,서울,2023-01-03 19:00,-3.1,,2.1,43,1018.8,-3.1
108,서울,2023-01-03 20:00,-3.8,,1.8,50,1019,-4.3
108,서울,2023-01-03 21:00,-4.3,,1,50,1019.2,-5.4
108,서울,2023-01-03 22:00,-4.8,,0.8,52,1019.2,-6.1
108,서울,2023-01-03 23:00,-5.2,,0.8,50,1019.2,-6.7
108,서울,2023-01-04 0:00,-5.2,,0.8,50,1019.5,-6.9
108,서울,2023-01-04 1:00,-5.2,,0.5,50,1019.2,-7
108,서울,2023-01-04 2:00,-5.6,,1.4,52,1019,-7.1
108,서울,2023-01-04 3:00,-5.7,,2,54,1019,-7
108,서울,2023-01-04 4:00,-5.1,,2.1,59,1019,-5
108,서울,2023-01-04 5:00,-4.6,,2.1,59,1018.9,-4.2
108,서울,2023-01-04 6:00,-4.2,,1.5,58,1019.1,-4
108,서울,2023-01-04 7:00,-4,,1.3,57,1019.5,-4.3
108,서울,2023-01-04 8:00,-4.4,,1.8,58,1019.9,-5.7
108,서울,2023-01-04 9:00,-4.6,,1.9,62,1020,-5.3
108,서울,2023-01-04 10:00,-2.6,,2.4,58,1020.3,-2.2
108,서울,2023-01-04 11:00,0.7,,0.9,45,1020.4,0.8
108,서울,2023-01-04 12:00,1.5,,3,41,1020,4
108,서울,2023-01-04 13:00,1.9,,3.5,41,1019.5,5.8
108,서울,2023-01-04 14:00,2,,3.8,40,1019,5.9
108,서울,2023-01-04 15:00,2.9,,2.6,37,1018.7,3.6
108,서울,2023-01-04 16:00,2.7,,2.6,35,1018.7,0
108,서울,2023-01-04 17:00,1.9,,2.6,40,1018.8,-0.3
108,서울,2023-01-04 18:00,0.6,,2.1,46,1019.1,-0.6
108,서울,2023-01-04 19:00,-0.3,,1.7,50,1019.5,-1.2
108,서울,2023-01-04 20:00,-0.9,,1,56,1019.7,-2.1
108,서울,2023-01-04 21:00,-2.1,,1,52,1019.8,-3.1
108,서울,2023-01-04 22:00,-2.7,,1.5,54,1019.8,-4
108,서울,2023-01-04 23:00,-2.8,,1,56,1020.1,-4.7
108,서울,2023-01-05 0:00,-3.2,,0.8,61,1020.3,-5.3
108,서울,2023-01-05 1:00,-3.4,,1.1,61,1020.2,-5.7
108,서울,2023-01-05 2:00,-3.7,,0.7,65,1020.3,-6
108,서울,2023-01-05 3:00,-3.7,,1.5,65,1020.7,-6.2
108,서울,2023-01-05 4:00,-4.3,,1.1,66,1020.5,-6.4
108,서울,2023-01-05 5:00,-4.7,,2.3,67,1020.4,-6.7
108,서울,2023-01-05 6:00,-5,,2.3,69,1020.6,-6.9
108,서울,2023-01-05 7:00,-5.3,,2.5,71,1020.5,-7
108,서울,2023-01-05 8:00,-5.6,,2.2,73,1020.6,-7
108,서울,2023-01-05 9:00,-4.9,,2.2,73,1020.9,-5
108,서울,2023-01-05 10:00,-3.1,,2.4,68,1021.1,-1.7
108,서울,2023-01-05 11:00,-1.2,,2.3,63,1021,-0.1
108,서울,2023-01-05 12:00,0.2,,2.2,55,1020,0.5
108,서울,2023-01-05 13:00,1,,0.7,53,1019.3,0.4
108,서울,2023-01-05 14:00,1.5,,2.4,47,1018.9,0.6
108,서울,2023-01-05 15:00,3.1,,2.3,43,1018.5,1.7
108,서울,2023-01-05 16:00,3.2,,3.1,41,1018.9,-0.1
108,서울,2023-01-05 17:00,2.1,,2.1,40,1019.1,-0.3
108,서울,2023-01-05 18:00,0.9,,2.4,43,1019.4,-0.9
108,서울,2023-01-05 19:00,-0.1,,1.7,46,1019.5,-1.9
108,서울,2023-01-05 20:00,-0.8,,1.4,52,1019,-3
108,서울,2023-01-05 21:00,-1.1,,1,55,1018.2,-3.9
108,서울,2023-01-05 22:00,-1.4,,1.3,56,1018.5,-4.4
108,서울,2023-01-05 23:00,-1.7,,0.3,59,1018.5,-4.9
108,서울,2023-01-06 0:00,-2.1,,1.3,62,1018.6,-5.2
108,서울,2023-01-06 1:00,-2.4,,1,66,1018.5,-5.4
108,서울,2023-01-06 2:00,-2.6,,1.8,66,1018.2,-5.4
108,서울,2023-01-06 3:00,-3.2,,2.1,70,1018.1,-5.7
108,서울,2023-01-06 4:00,-3.5,,2.1,74,1017.5,-5.6
108,서울,2023-01-06 5:00,-3.6,,1.8,71,1017,-5.8
108,서울,2023-01-06 6:00,-4,,1.9,72,1016.4,-6.1
108,서울,2023-01-06 7:00,-4.2,,1.6,77,1015.7,-6.2
108,서울,2023-01-06 8:00,-4.5,,2.1,75,1015.5,-6.3
108,서울,2023-01-06 9:00,-3.6,,2.2,73,1015.3,-4.8
108,서울,2023-01-06 10:00,-1.3,,2.8,65,1014.7,-1.7
108,서울,2023-01-06 11:00,0.9,,1.8,59,1014.4,1
108,서울,2023-01-06 12:00,3.1,,1.6,54,1013.6,4.3
108,서울,2023-01-06 13:00,3.7,,2.2,51,1012.1,4.7
108,서울,2023-01-06 14:00,5.2,,1.8,50,1010.6,6.1
108,서울,2023-01-06 15:00,5.3,,2.9,59,1009.3,3.8
108,서울,2023-01-06 16:00,5.2,,1.8,58,1008.6,1.4
108,서울,2023-01-06 17:00,4.5,,1.4,63,1008,0.5
108,서울,2023-01-06 18:00,4.3,0,2,64,1007.3,0.3
108,서울,2023-01-06 19:00,3.8,,3.3,65,1006.5,0
108,서울,2023-01-06 20:00,3,,3.8,65,1006,0
108,서울,2023-01-06 21:00,1.6,1,2.5,88,1005.3,-0.1
108,서울,2023-01-06 22:00,1.3,,3.2,93,1004.2,-0.1
108,서울,2023-01-06 23:00,0.9,,1.7,95,1003.8,-0.1
108,서울,2023-01-07 0:00,1,2.9,1.3,95,1003.6,-0.1
108,서울,2023-01-07 1:00,1.2,,1.7,94,1003,-0.1
108,서울,2023-01-07 2:00,1.2,,0.7,95,1003.2,-0.1
108,서울,2023-01-07 3:00,1.6,,1,94,1003.6,-0.1
108,서울,2023-01-07 4:00,2.2,,2,96,1003.7,-0.1
108,서울,2023-01-07 5:00,2,,2.9,98,1004.1,-0.1
108,서울,2023-01-07 6:00,1.8,0.1,3.1,97,1004.8,-0.1
108,서울,2023-01-07 7:00,1.8,,2.8,97,1005.9,-0.1
108,서울,2023-01-07 8:00,1.6,,3.5,92,1006.9,-0.1
108,서울,2023-01-07 9:00,1.6,,2.4,90,1007.6,-0.1
108,서울,2023-01-07 10:00,1.7,,2.9,88,1008.1,-0.1
108,서울,2023-01-07 11:00,2,,3.7,84,1009,0
108,서울,2023-01-07 12:00,2.4,,3.2,75,1009,0.2
108,서울,2023-01-07 13:00,3.1,,2.9,71,1008.4,3.4
108,서울,2023-01-07 14:00,3.4,,3.7,68,1008.7,2.6
108,서울,2023-01-07 15:00,3.7,,3.1,66,1009,2.8
108,서울,2023-01-07 16:00,3.7,,2.3,66,1009.4,2.2
108,서울,2023-01-07 17:00,2.9,,2.5,68,1009.9,-0.6
108,서울,2023-01-07 18:00,2,,1.5,71,1010.7,-0.1
108,서울,2023-01-07 19:00,1.1,,1.1,74,1011.1,-0.3
108,서울,2023-01-07 20:00,0.5,,1.4,78,1011.6,-0.4
108,서울,2023-01-07 21:00,0.2,,1.9,82,1012.3,-0.5
108,서울,2023-01-07 22:00,0.1,,2.4,68,1012.6,-0.7
108,서울,2023-01-07 23:00,-0.9,,1,68,1012.4,-0.9
108,서울,2023-01-08 0:00,-1.4,,0.8,72,1012.5,-1
108,서울,2023-01-08 1:00,-1.8,,0.7,74,1012.7,-1.3
108,서울,2023-01-08 2:00,-2,,1.7,74,1013.6,-1.6
108,서울,2023-01-08 3:00,-2.4,,0.7,77,1014.1,-2.1
108,서울,2023-01-08 4:00,-2.8,,1.5,76,1013.7,-2.5
108,서울,2023-01-08 5:00,-3.1,,1.7,80,1013.4,-2.9
108,서울,2023-01-08 6:00,-3.2,,1.7,86,1014.1,-3.2
108,서울,2023-01-08 7:00,-3.2,,0.2,89,1014.9,-3.4
108,서울,2023-01-08 8:00,-3.7,,2.1,90,1015.1,-3.5
108,서울,2023-01-08 9:00,-3.3,,2.3,90,1015.4,-2.6
108,서울,2023-01-08 10:00,-1,,2.2,84,1015.5,-0.5
108,서울,2023-01-08 11:00,1,,2,76,1015.1,0.5
108,서울,2023-01-08 12:00,2.8,,1.1,67,1014.6,1.9
108,서울,2023-01-08 13:00,4.2,,1.8,54,1013.9,3.6
108,서울,2023-01-08 14:00,4.9,,1.1,52,1013.3,5
108,서울,2023-01-08 15:00,5.9,,0.9,47,1012.8,3.9
108,서울,2023-01-08 16:00,5.7,,1.1,49,1012.7,1.6
108,서울,2023-01-08 17:00,4.9,,0.9,54,1012.9,0.4
108,서울,2023-01-08 18:00,4,,2.5,59,1013.2,-0.1
108,서울,2023-01-08 19:00,3.5,,2.6,62,1013.4,-0.2
108,서울,2023-01-08 20:00,3.1,,2.9,64,1013.5,-0.1
108,서울,2023-01-08 21:00,3.1,,2,64,1013.7,0
108,서울,2023-01-08 22:00,3.1,,2.4,64,1013.6,0.1
108,서울,2023-01-08 23:00,3.2,,1.5,63,1013.4,0.2
108,서울,2023-01-09 0:00,3.2,,2.4,64,1013.1,0.2
108,서울,2023-01-09 1:00,3.2,,1.7,65,1012.6,0.3
108,서울,2023-01-09 2:00,3.3,,2,65,1012.3,0.3
108,서울,2023-01-09 3:00,3.4,,2.2,66,1012.3,0.3
108,서울,2023-01-09 4:00,3.4,,1.4,66,1011.7,0.3
108,서울,2023-01-09 5:00,3.5,,2,66,1011.6,0.3
108,서울,2023-01-09 6:00,3.7,,1.6,66,1012,0.3
108,서울,2023-01-09 7:00,3.8,,2,74,1012.5,0.4
108,서울,2023-01-09 8:00,3.5,,1.9,72,1012.8,0.3
108,서울,2023-01-09 9:00,3.6,,1.3,74,1012.9,0.6
108,서울,2023-01-09 10:00,4.7,,1.5,72,1013.1,2.6
108,서울,2023-01-09 11:00,5.5,,3,65,1013.3,6.8
108,서울,2023-01-09 12:00,6.3,,2.9,59,1012.8,8.7
108,서울,2023-01-09 13:00,6.5,,3.6,51,1012.4,8.7
108,서울,2023-01-09 14:00,6.7,,4.4,51,1012.1,8.3
108,서울,2023-01-09 15:00,5.8,,3.9,51,1012.3,5.5
108,서울,2023-01-09 16:00,5.6,,3.7,46,1012.9,1.7
108,서울,2023-01-09 17:00,4.3,,3.1,45,1013.5,-0.1
